sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;comercio;almacen_de_ropa_en;cabecera_san_antonio;2;80;22/09/2016;4000000;microempresarial
masculino;industria;variedades;cabecera_san_antonio;2;80;24/07/2017;5000000;credioportuno
masculino;industria;fabrica_de;guayabal;2;15;2/03/2016;4000000;microempresarial
masculino;industria;fabrica_de;belen;2;16;24/05/2016;6500000;microempresarial
femenino;comercio;comidas_rapidas;santander;2;6;27/07/2018;1200000;microempresarial
femenino;comercio;almacen_de_ropa_en;prado;3;10;20/11/2017;7000000;microempresarial
femenino;comercio;comidas_rapidas;santa_cruz;2;2;22/03/2018;1500000;microempresarial
masculino;industria;fabrica_de_traperos;aranjuez;3;4;24/02/2016;2000000;microempresarial
femenino;comercio;variedades;castilla;3;5;15/02/2017;4000000;microempresarial
masculino;industria;fabrica_de_alimentos;san_javier_no2;3;13;29/02/2016;6890000;microempresarial
masculino;industria;fabrica_de;san_javier_no1;1;13;15/08/2017;6000000;microempresarial
masculino;servicio;variedades;pedregal;3;6;24/04/2017;7000000;microempresarial
masculino;comercio;panaderia;cabecera_san_antonio;2;80;27/04/2017;3000000;microempresarial
masculino;servicio;mantenimiento_en;la_milagrosa;2;9;16/05/2018;7000000;microempresarial
masculino;comercio;variedades;la_floresta;3;12;16/08/2016;6000000;microempresarial
femenino;comercio;fabrica_de;san_javier_no1;1;13;5/10/2017;7300000;microempresarial
masculino;comercio;tienda;cabecera_san_antonio;3;80;21/05/2018;5500000;microempresarial
femenino;comercio;tienda_de_helados;robledo;3;7;23/05/2018;7800000;microempresarial
femenino;comercio;variedades;tricentenario;3;5;27/04/2017;7000000;microempresarial
femenino;comercio;miscelanea;villa_hermosa;3;8;19/12/2016;6890000;microempresarial
masculino;servicio;mantenimiento_en;andalucia;1;2;22/01/2016;6890000;microempresarial
femenino;comercio;tienda;bombona_no_1;3;10;5/10/2016;4000000;microempresarial
masculino;industria;fabrica_de;santa_cruz;2;2;30/09/2016;6890000;microempresarial
femenino;comercio;almacen_de_ropa_en;manrique_oriental;2;3;8/02/2017;1200000;microempresarial
femenino;comercio;fabrica_de;villa_liliam;1;13;6/02/2019;7800000;microempresarial
masculino;comercio;tienda;kennedy;2;6;27/09/2018;5000000;microempresarial
femenino;comercio;variedades;robledo;2;7;28/10/2016;6000000;microempresarial
femenino;comercio;tienda;santa_cruz;2;2;4/04/2016;4000000;microempresarial
femenino;comercio;variedades;popular;2;1;29/02/2016;6500000;microempresarial
masculino;comercio;comidas_rapidas;doce_de_octubre_no1;2;6;21/05/2018;5000000;microempresarial
masculino;servicio;bares;san_javier_no1;2;13;16/07/2018;5000000;microempresarial
masculino;industria;fabrica_de;buenos_aires;3;9;6/03/2018;7800000;microempresarial
femenino;comercio;peluqueria;pedregal;3;6;18/04/2017;7000000;microempresarial
femenino;comercio;almacen_de_ropa_en;robledo;2;7;3/07/2018;4000000;microempresarial
femenino;comercio;tienda;robledo;2;7;5/09/2018;5000000;microempresarial
femenino;comercio;peluqueria;robledo;2;7;3/05/2018;6000000;microempresarial
femenino;agropecuaria;criadero_de_animales;la_floresta;2;12;14/06/2016;6890000;microempresarial
masculino;comercio;almacen_de_ropa_en;popular;1;1;18/10/2018;7800000;microempresarial
masculino;comercio;tienda;la_milagrosa;3;9;20/02/2018;5000000;microempresarial
femenino;comercio;restaurante;enciso;3;8;9/03/2017;7000000;microempresarial
femenino;servicio;organización_y;pedregal;3;6;12/10/2017;7377000;microempresarial
femenino;industria;fabrica_de;el_salvador;2;9;6/06/2017;7377000;microempresarial
femenino;industria;fabrica_de;manrique_central_no_1;2;4;27/04/2018;3000000;microempresarial
masculino;servicio;restaurante;belen;3;16;3/04/2017;7350000;microempresarial
femenino;comercio;variedades;buenos_aires;3;9;20/06/2017;1000000;microempresarial
masculino;comercio;tienda;aranjuez;1;4;4/09/2017;3000000;microempresarial
femenino;servicio;peluqueria;el_salvador;2;60;19/09/2017;3000000;microempresarial
femenino;industria;fabrica_de;la_esperanza;1;6;12/04/2018;3000000;microempresarial
femenino;comercio;panaderia;playon_de_los;2;2;22/11/2016;6000000;microempresarial
femenino;comercio;almacen_de_ropa_en;santa_cruz;2;2;21/02/2017;6000000;microempresarial
masculino;comercio;tienda;robledo;1;7;18/12/2017;5000000;microempresarial
femenino;comercio;comidas_rapidas;robledo;3;7;29/01/2018;7800000;microempresarial
femenino;industria;fabrica_de;barrio_caicedo;2;9;16/03/2017;5000000;microempresarial
masculino;servicio;variedades;santo_domingo_savio;1;1;28/02/2018;7000000;microempresarial
femenino;comercio;variedades;aranjuez;2;4;25/08/2016;3000000;microempresarial
masculino;servicio;comidas_rapidas;robledo;2;7;29/03/2017;7377000;microempresarial
femenino;comercio;tienda;popular;2;1;29/06/2017;7300000;microempresarial
femenino;comercio;almacen_de_ropa_en;robledo;2;7;9/03/2017;6000000;microempresarial
masculino;comercio;tienda;el_salvador;3;9;12/04/2016;1000000;microempresarial
femenino;comercio;miscelanea;centro_admtivo;1;10;15/02/2018;5000000;microempresarial
femenino;comercio;variedades;doce_de_octubre_no1;2;6;2/03/2017;3000000;microempresarial
masculino;comercio;fabrica_de;centro_admtivo;2;10;24/01/2018;4500000;microempresarial
femenino;comercio;fabrica_de_alimentos;campo_valdes_no_2;1;3;24/11/2017;3000000;microempresarial
masculino;comercio;variedades;campo_valdes_no_1;3;4;6/06/2018;4000000;microempresarial
femenino;servicio;fabrica_de_arepas;villa_hermosa;3;8;24/08/2016;1050000;microempresarial
femenino;industria;carpinteria;belen;3;16;30/01/2018;7800000;microempresarial
femenino;comercio;variedades;calasanz;3;12;16/05/2018;3000000;microempresarial
femenino;servicio;variedades;las_palmas;2;10;22/12/2017;4400000;microempresarial
masculino;comercio;tienda;girardot;3;5;16/05/2019;8200000;microempresarial
masculino;servicio;drogueria;cabecera_san_cristobal;2;60;12/07/2018;7800000;microempresarial
femenino;industria;fabrica_de;moravia;2;4;1/06/2018;7800000;microempresarial
femenino;comercio;tienda;enciso;2;8;18/04/2017;7000000;microempresarial
femenino;comercio;almacen_de_ropa_en;cabecera_san_antonio;2;80;9/02/2017;7377000;microempresarial
femenino;comercio;tienda_de_helados;san_javier_no1;2;13;27/09/2017;30000000;empresarial_ed
femenino;comercio;almacen_de_ropa_en;antonio_nariño;2;13;16/08/2016;6890000;microempresarial
masculino;comercio;productos_de_mar;santa_cruz;2;2;7/06/2018;2500000;microempresarial
femenino;agropecuaria;criadero_de_animales;cabecera_san_antonio;2;80;5/12/2017;7300000;microempresarial
masculino;servicio;cafe_e_internet;moravia;3;4;13/02/2018;3000000;microempresarial
femenino;industria;fabrica_de;popular;2;1;24/08/2018;7800000;microempresarial
masculino;industria;ebanistaria;manrique_oriental;2;3;6/12/2016;6500000;microempresarial
femenino;comercio;variedades;las_palmas;2;8;22/05/2018;4400000;microempresarial
masculino;agropecuaria;sembrados;santa_elena_central;2;90;26/07/2017;10000000;agropecuaria
femenino;comercio;variedades;aranjuez;3;4;2/02/2018;36;microempresarial
masculino;industria;fabrica_de_calzado;el_socorro;2;13;12/12/2017;7370000;microempresarial
masculino;industria;fabrica_de;doce_de_octubre_no1;1;6;27/07/2016;6800000;microempresarial
femenino;comercio;fabrica_de_helados;manrique_central_no_1;2;4;4/10/2016;6000000;microempresarial
femenino;comercio;miscelanea;lopez_de_mesa;3;7;18/10/2017;2000000;microempresarial
femenino;comercio;bares;aures_no_2;2;7;1/03/2019;2500000;microempresarial
masculino;servicio;variedades;popular;2;1;31/08/2017;5000000;microempresarial
femenino;comercio;miscelanea;buenos_aires;2;9;24/01/2017;7370000;microempresarial
femenino;comercio;papeleria;cabecera_san_antonio;2;80;11/12/2018;2000000;microempresarial
masculino;servicio;restaurante;centro_admtivo;3;10;8/11/2017;4000000;microempresarial
femenino;comercio;carniceria;robledo;3;7;13/10/2017;4000000;microempresarial
femenino;industria;fabrica_de;castilla;2;5;18/01/2019;8200000;microempresarial
femenino;comercio;comidas_rapidas;san_jose_de_la_cima_no;1;3;16/02/2018;2000000;microempresarial
femenino;servicio;comidas_rapidas;palermo;1;4;18/08/2016;3500000;microempresarial
masculino;servicio;tienda;13_de_noviembre;1;8;15/08/2017;7200000;microempresarial
femenino;servicio;mantenimiento_en;tejelo;3;5;3/04/2017;7377000;microempresarial
femenino;industria;fabrica_de;doce_de_octubre_no1;1;6;15/04/2016;2000000;microempresarial
femenino;comercio;variedades;francisco_antonio_zea;2;5;9/02/2018;781000;microempresarial
femenino;comercio;tienda;picacho;1;6;29/05/2019;8200000;microempresarial
masculino;comercio;almacen_de_ropa_en;girardot;3;5;23/02/2017;3000000;microempresarial
masculino;industria;carpinteria;manrique_oriental;1;3;16/12/2016;6900000;microempresarial
femenino;servicio;peluqueria;buenos_aires;3;9;13/06/2017;7377000;microempresarial
femenino;comercio;variedades;el_salvador;2;9;27/10/2017;6500000;microempresarial
masculino;servicio;cafeteria;santa_elena_central;2;90;16/05/2016;6000000;microempresarial
masculino;servicio;barberia;robledo;2;7;8/05/2018;6000000;microempresarial
masculino;comercio;peluqueria;belen;3;16;8/06/2018;7800000;microempresarial
femenino;industria;fabrica_de;la_loma_oriental;2;60;16/12/2016;6890000;microempresarial
masculino;servicio;barberia;la_loma;1;60;24/08/2018;7800000;microempresarial
femenino;servicio;cafe_e_internet;buenos_aires;3;9;5/12/2016;6890000;microempresarial
femenino;servicio;fabrica_de;castilla;3;5;9/02/2017;7377000;microempresarial
masculino;comercio;variedades;barrio_caicedo;2;9;24/10/2017;7300000;microempresarial
masculino;industria;fabrica_de;manrique_oriental;2;3;18/06/2018;4000000;microempresarial
masculino;servicio;peluqueria;robledo;2;7;21/02/2018;7000000;microempresarial
femenino;servicio;comidas_rapidas;florencia;3;5;18/10/2018;1500000;microempresarial
femenino;comercio;comidas_rapidas;andalucia;2;2;21/06/2018;5000000;microempresarial
masculino;servicio;mantenimiento_en;enciso;3;8;27/09/2018;7800000;microempresarial
masculino;comercio;comidas_rapidas;doce_de_octubre_no1;2;6;24/10/2018;4000000;microempresarial
femenino;industria;fabrica_de;manrique_central_no_2;2;3;12/06/2019;4500000;microempresarial
masculino;industria;fabrica_de_muebles;cabecera_san_cristobal;3;60;26/10/2018;7800000;microempresarial
femenino;comercio;comidas_rapidas;aranjuez;3;4;13/06/2017;4000000;microempresarial
masculino;industria;fabrica_de_alimentos;robledo;3;7;1/11/2018;7800000;microempresarial
femenino;comercio;tienda;robledo;2;7;13/02/2017;5000000;microempresarial
femenino;comercio;comidas_rapidas;san_javier_no1;1;13;14/03/2018;7800000;microempresarial
femenino;servicio;cafe_e_internet;robledo;1;7;24/06/2016;6000000;microempresarial
femenino;industria;fabrica_de;manrique_central_no_1;1;4;13/11/2018;2500000;microempresarial
femenino;comercio;legumbreria;manrique_central_no_2;2;3;14/04/2016;6000000;microempresarial
masculino;servicio;cafe_e_internet;buenos_aires;3;9;6/02/2018;4000000;microempresarial
femenino;comercio;variedades;robledo;1;7;24/08/2018;7800000;microempresarial
femenino;industria;fabrica_de;la_floresta;2;13;21/12/2018;5000000;microempresarial
femenino;comercio;variedades;cabecera_san_antonio;2;80;17/06/2016;6800000;microempresarial
masculino;comercio;panaderia;pedregal_alto;3;60;4/12/2017;7000000;microempresarial
masculino;comercio;ferreteria;villa_del_socorro;1;2;15/02/2018;7800000;microempresarial
femenino;comercio;variedades;buenos_aires;3;9;1/08/2018;1000000;microempresarial
femenino;industria;fabrica_de;la_libertad;2;8;31/05/2018;7800000;microempresarial
femenino;comercio;variedades;el_chagualo;3;10;25/05/2018;7800000;microempresarial
femenino;comercio;miscelanea;popular;1;1;26/10/2016;4000000;microempresarial
femenino;industria;fabrica_de_arepas;san_javier_no1;3;13;15/06/2016;6500000;microempresarial
femenino;industria;fabrica_de;aranjuez;2;4;22/03/2018;3400000;microempresarial
masculino;comercio;comidas_rapidas;popular;2;1;22/11/2017;4000000;microempresarial
masculino;comercio;tienda;picacho;1;6;4/05/2018;7000000;microempresarial
femenino;industria;fabrica_de;campo_valdes_no_1;3;4;25/01/2019;5000000;microempresarial
femenino;servicio;tienda;enciso;2;8;25/04/2017;5000000;microempresarial
femenino;industria;fabrica_de;santa_cruz;2;2;17/07/2018;7800000;microempresarial
masculino;industria;fabrica_de;trinidad;3;15;19/05/2016;3000000;microempresarial
femenino;comercio;fabrica_de_arepas;barrio_caicedo;2;9;20/03/2019;4000000;microempresarial
femenino;industria;fabrica_de;robledo;2;7;17/08/2018;5000000;microempresarial
femenino;comercio;variedades;el_poblado;3;14;16/06/2017;7000000;microempresarial
femenino;comercio;comidas_rapidas;santa_cruz;2;2;3/12/2018;6000000;microempresarial
masculino;comercio;almacen_de_ropa_en;santa_cruz;2;2;5/02/2019;8000000;microempresarial
femenino;industria;carpinteria;cabecera_san_antonio;2;80;15/09/2016;6500000;microempresarial
masculino;servicio;recreativo_educativo;cabecera_san_cristobal;3;60;6/02/2019;7800000;microempresarial
femenino;industria;fabrica_de;manrique_central_no_1;2;4;27/06/2019;8281000;microempresarial
masculino;industria;fabrica_de_repuestos;la_floresta;2;12;9/07/2018;7800000;microempresarial
femenino;comercio;tienda;la_francia;2;2;8/04/2019;6000000;microempresarial
masculino;servicio;comidas_rapidas;castilla;2;5;26/04/2016;6890000;microempresarial
femenino;servicio;distribuidora_de;san_javier_no1;2;13;3/04/2017;7000000;microempresarial
masculino;industria;fabrica_de_repuestos;guayabal;3;15;29/12/2017;7300000;microempresarial
femenino;industria;fabrica_de;manrique_central_no_1;2;4;21/08/2018;3000000;microempresarial
femenino;comercio;almacen_de_ropa_en;20_de_julio;1;13;8/06/2018;2000000;microempresarial
masculino;comercio;variedades;la_milagrosa;3;9;9/03/2018;5000000;microempresarial
femenino;servicio;peluqueria;aranjuez;2;4;24/09/2018;7800000;microempresarial
femenino;servicio;recreativo_educativo;castilla;3;5;17/12/2018;7500000;microempresarial
masculino;comercio;distribuidora_de;villa_hermosa;3;8;4/08/2017;7300000;microempresarial
femenino;comercio;restaurante;manrique_central_no_1;2;4;27/09/2018;6000000;microempresarial
femenino;comercio;almacen_de_ropa_en;buenos_aires;3;9;14/06/2017;7300000;microempresarial
femenino;comercio;taller_de_electronica;barrio_caicedo;1;9;14/11/2018;3000000;microempresarial
femenino;industria;fabrica_de;castilla;3;5;4/01/2019;7800000;microempresarial
femenino;comercio;variedades;la_pradera;2;13;10/07/2017;7370000;microempresarial
masculino;servicio;productos_de_belleza;robledo;2;4;10/07/2018;5000000;microempresarial
femenino;industria;fabrica_de_muebles;castilla;3;5;22/09/2017;4000000;microempresarial
masculino;industria;fabrica_de;buenos_aires;3;9;12/06/2019;2500000;microempresarial
femenino;industria;fabrica_de;san_pablo;2;1;21/02/2018;1000000;microempresarial
masculino;comercio;almacen_de_ropa_en;robledo;2;7;10/07/2017;7377000;microempresarial
femenino;comercio;tienda;manrique_central_no_2;3;3;22/05/2019;5000000;microempresarial
femenino;comercio;comidas_rapidas;robledo;2;7;27/01/2017;4000000;microempresarial
femenino;comercio;variedades;jardin_botanico;2;3;30/01/2019;4000000;microempresarial
masculino;industria;fabrica_de;manrique_oriental;1;3;3/10/2018;7800000;microempresarial
masculino;servicio;lavanderia;robledo;3;7;9/07/2018;7800000;microempresarial
femenino;industria;fabrica_de;buenos_aires;1;9;12/07/2018;4000000;microempresarial
femenino;comercio;venta_de_calzado;belen;2;16;19/10/2016;4000000;microempresarial
masculino;servicio;taller_de_electronica;san_javier_no1;3;13;15/02/2019;8122200;microempresarial
masculino;comercio;tienda;manrique_central_no_1;3;4;10/05/2018;7800000;microempresarial
masculino;comercio;papeleria;el_salvador;3;9;26/04/2019;7000000;microempresarial
masculino;comercio;carpinteria;cabecera_san_cristobal;2;60;1/08/2018;3000000;microempresarial
masculino;industria;ebanistaria;belencito;2;13;4/11/2016;4000000;microempresarial
masculino;industria;fabrica_de;cabecera_san_cristobal;2;60;19/12/2018;4000000;microempresarial
masculino;comercio;tienda;san_antonio;3;8;21/06/2019;4500000;microempresarial
femenino;servicio;criadero_de_animales;belen;2;16;9/03/2017;4000000;microempresarial
femenino;comercio;variedades;miranda;2;4;1/02/2018;2000000;microempresarial
femenino;industria;fabrica_de;tejelo;3;5;24/04/2017;5000000;microempresarial
masculino;servicio;recreativo_educativo;la_esperanza;3;6;7/03/2016;6890000;microempresarial
masculino;industria;ebanistaria;belencito;2;13;18/05/2018;2000000;microempresarial
femenino;industria;fabrica_de;las_esmeraldas;2;4;6/03/2018;3000000;microempresarial
femenino;servicio;recreativo_educativo;robledo;2;7;19/05/2016;2000000;microempresarial
masculino;comercio;comidas_rapidas;barrio_caicedo;1;9;3/10/2018;7500000;microempresarial
masculino;comercio;restaurante;belen;2;16;23/02/2017;5000000;microempresarial
masculino;industria;comidas_rapidas;moravia;2;4;27/06/2018;3500000;microempresarial
masculino;industria;fabrica_de_productos;santander;2;6;18/08/2017;7377000;microempresarial
masculino;industria;panaderia;castilla;2;5;16/05/2017;7370000;microempresarial
femenino;comercio;variedades;buenos_aires;3;9;15/02/2017;6800000;microempresarial
masculino;industria;fabrica_de;campo_valdes_no_1;2;4;7/03/2018;6000000;microempresarial
femenino;comercio;almacen_de_ropa_en;aranjuez;2;4;13/08/2018;7812242;microempresarial
femenino;servicio;mantenimiento_en;doce_de_octubre_no1;1;6;27/01/2017;6000000;microempresarial
femenino;comercio;variedades;santander;2;6;21/06/2018;6000000;microempresarial
femenino;industria;fabrica_de;campo_valdes_no_1;3;4;30/11/2017;7000000;microempresarial
masculino;comercio;tienda_de_helados;campo_valdes_no_1;2;4;11/04/2016;6890000;microempresarial
masculino;comercio;tienda;belencito;2;13;10/03/2016;6890000;microempresarial
femenino;servicio;peluqueria;campo_valdes_no_1;3;4;3/04/2018;7800000;microempresarial
masculino;servicio;organización_y;florencia;3;5;21/08/2018;6000000;microempresarial
femenino;industria;fabrica_de;santa_cruz;2;2;9/07/2018;4500000;microempresarial
masculino;comercio;variedades;robledo;2;7;17/01/2017;7377000;microempresarial
masculino;industria;fabrica_de;pablo_vi;2;2;16/05/2017;7000000;microempresarial
femenino;servicio;comidas_rapidas;boyaca;3;5;6/03/2018;6000000;microempresarial
masculino;servicio;variedades;robledo;2;7;30/12/2016;4000000;microempresarial
femenino;comercio;tienda;manrique_central_no_2;2;3;6/05/2016;3500000;microempresarial
femenino;industria;fabrica_de;robledo;2;7;10/07/2018;3800000;microempresarial
masculino;comercio;cafeteria;santa_cruz;2;2;8/08/2018;7800000;microempresarial
femenino;comercio;variedades;belen;3;16;12/07/2017;7370000;microempresarial
femenino;comercio;variedades;la_francia;2;2;1/08/2018;6000000;microempresarial
masculino;comercio;legumbreria;pedregal;3;6;15/03/2018;7800000;microempresarial
masculino;comercio;variedades;campo_valdes_no_1;3;4;7/03/2018;7000000;microempresarial
masculino;comercio;restaurante;boyaca;3;5;5/05/2017;6000000;microempresarial
femenino;comercio;almacen_de_ropa_en;robledo;1;7;17/05/2017;6000000;microempresarial
femenino;comercio;variedades;prado;3;10;18/04/2016;6890000;microempresarial
femenino;servicio;servicios;robledo;2;7;19/07/2017;7300000;microempresarial
femenino;comercio;distribuidora_de;cabecera_san_cristobal;2;60;17/08/2017;4000000;microempresarial
femenino;industria;fabrica_de;picacho;1;6;7/09/2016;4000000;microempresarial
femenino;comercio;fabrica_de;santa_cruz;2;2;18/07/2018;7812000;microempresarial
masculino;industria;fabrica_de;doce_de_octubre_no1;1;6;31/05/2017;5000000;microempresarial
femenino;comercio;variedades;picacho;2;6;4/07/2018;5000000;microempresarial
femenino;servicio;mantenimiento_en;san_joaquin;3;11;9/08/2018;7800000;microempresarial
femenino;comercio;variedades;castilla;3;5;2/09/2016;6000000;microempresarial
masculino;servicio;mantenimiento_en;la_america;3;12;10/05/2016;6890000;microempresarial
masculino;industria;fabrica_de;robledo;2;7;15/11/2017;5000000;microempresarial
femenino;comercio;comidas_rapidas;manrique_oriental;2;7;30/05/2018;7800000;microempresarial
femenino;industria;fabrica_de;manrique_central_no_2;2;3;29/01/2018;7800000;microempresarial
femenino;servicio;cafe_e_internet;san_javier_no1;1;13;31/10/2018;3000000;microempresarial
masculino;comercio;comidas_rapidas;enciso;2;8;12/06/2019;8000000;microempresarial
femenino;comercio;tienda;campo_valdes_no_1;3;4;25/02/2016;300000;microempresarial
femenino;comercio;almacen_de_ropa_en;villa_niza;2;2;12/04/2018;5000000;microempresarial
masculino;comercio;almacen_de_ropa_en;barrio_caicedo;1;9;14/08/2018;5500000;microempresarial
femenino;industria;fabrica_de;la_francia;2;2;1/11/2016;6890000;microempresarial
masculino;comercio;distribuidora_de;el_pinal;2;8;3/04/2019;8281000;microempresarial
femenino;industria;fabrica_de;buenos_aires;3;9;11/03/2019;8000000;microempresarial
femenino;industria;fabrica_de;manrique_central_no_1;2;4;24/04/2018;5000000;microempresarial
masculino;comercio;restaurante;la_colina;3;15;20/06/2017;4000000;microempresarial
femenino;industria;fabrica_de;santander;3;6;8/02/2017;3500000;microempresarial
masculino;industria;fabrica_de;campo_valdes_no_1;2;4;6/12/2017;7300000;microempresarial
femenino;industria;variedades;aranjuez;3;4;11/10/2018;3000000;microempresarial
femenino;servicio;mantenimiento_en;buenos_aires;1;9;16/11/2017;7000000;microempresarial
masculino;comercio;variedades;robledo;2;7;26/01/2018;5000000;microempresarial
masculino;comercio;comidas_rapidas;aranjuez;2;4;10/05/2018;1500000;microempresarial
femenino;industria;fabrica_de_repuestos;san_benito;3;10;28/05/2018;5000000;microempresarial
femenino;servicio;peluqueria;aranjuez;3;4;14/02/2017;6000000;microempresarial
femenino;industria;variedades;aranjuez;3;4;4/05/2018;7800000;microempresarial
femenino;comercio;comidas_rapidas;robledo;3;7;22/02/2018;5000000;microempresarial
femenino;industria;fabrica_de;aranjuez;3;4;10/04/2018;3000000;microempresarial
masculino;comercio;fabrica_de_calzado;manila;3;14;22/04/2019;1500000;microempresarial
femenino;comercio;comidas_rapidas;robledo;2;7;6/12/2017;7300000;microempresarial
masculino;industria;carpinteria;santa_cruz;1;2;11/08/2016;4000000;microempresarial
masculino;comercio;fabrica_de_alimentos;popular;2;1;7/11/2018;7800000;microempresarial
femenino;industria;fabrica_de;manrique_central_no_1;3;4;17/05/2018;5000000;microempresarial
femenino;industria;fabrica_de;lopez_de_mesa;3;7;20/09/2017;5000000;microempresarial
femenino;comercio;variedades;pedregal;3;6;25/10/2017;7377000;microempresarial
femenino;industria;fabrica_de;popular;2;1;31/08/2016;6000000;microempresarial
femenino;industria;fabrica_de;robledo;1;7;21/02/2019;7000000;microempresarial
femenino;industria;fabrica_de;manrique_central_no_2;2;3;10/08/2017;3000000;microempresarial
femenino;comercio;variedades;enciso;2;8;26/10/2017;1000000;microempresarial
masculino;comercio;variedades;campo_valdes_no_1;3;4;16/07/2018;7800000;microempresarial
femenino;servicio;comidas_rapidas;buenos_aires;3;9;12/07/2016;6000000;microempresarial
femenino;comercio;comidas_rapidas;la_palma;2;16;22/06/2018;7000000;microempresarial
femenino;industria;fabrica_de_helados;olaya_herrera;1;7;14/06/2018;4500000;microempresarial
femenino;agropecuaria;criadero_de_animales;cabecera_san_antonio;2;80;9/10/2017;14000000;agropecuaria
femenino;servicio;peluqueria;belen;3;16;3/11/2016;6890000;microempresarial
femenino;industria;fabrica_de;buenos_aires;3;9;9/05/2018;6000000;microempresarial
femenino;industria;fabrica_de;belen;1;16;9/07/2018;5000000;microempresarial
femenino;comercio;miscelanea;campo_valdes_no_1;2;4;29/05/2019;6000000;microempresarial
femenino;comercio;cafeteria;pablo_vi;2;2;6/09/2017;7000000;microempresarial
masculino;industria;carpinteria;san_martin_de_porres;2;6;15/06/2016;6890000;microempresarial
femenino;servicio;comidas_rapidas;la_cruz;1;3;16/02/2018;7000000;microempresarial
femenino;servicio;peluqueria;robledo;3;7;15/07/2016;6890000;microempresarial
femenino;comercio;venta_de_calzado;picachito;1;6;9/05/2018;4000000;microempresarial
femenino;comercio;tienda;la_pradera;2;13;13/09/2017;4400000;credioportuno
masculino;comercio;variedades;playon_de_los;1;2;9/02/2018;7000000;microempresarial
masculino;comercio;billares;cabecera_san_cristobal;2;60;22/09/2016;6890000;microempresarial
femenino;comercio;fabrica_de_alimentos;villa_del_socorro;2;2;14/09/2018;4000000;microempresarial
masculino;comercio;licorera;robledo;2;7;29/03/2017;7377000;microempresarial
femenino;comercio;cafeteria;cabecera_san_antonio;3;80;31/01/2019;7000000;microempresarial
